action_id,support,reference_correct,candidate_correct,reference_recall,candidate_recall,delta_recall,reference_f1,candidate_f1
A039,504,470,470,0.9325396825396826,0.9325396825396826,0.0,0.9371884346959123,0.93812375249501
A040,498,483,480,0.9698795180722891,0.963855421686747,-0.006024096385542169,0.9679358717434869,0.967741935483871
A041,504,430,428,0.8531746031746031,0.8492063492063492,-0.003968253968253968,0.849802371541502,0.8492063492063492
A042,503,500,501,0.9940357852882704,0.9960238568588469,0.0019880715705765406,0.9823182711198428,0.9813907933398629
A043,504,484,484,0.9603174603174603,0.9603174603174603,0.0,0.9787664307381193,0.9787664307381193
A044,503,403,408,0.8011928429423459,0.8111332007952287,0.009940357852882704,0.8466386554621849,0.8482328482328483
A045,504,432,428,0.8571428571428571,0.8492063492063492,-0.007936507936507936,0.8944099378881988,0.890738813735692
A046,504,453,448,0.8988095238095238,0.8888888888888888,-0.00992063492063492,0.9273285568065507,0.917093142272262
A047,504,441,435,0.875,0.8630952380952381,-0.011904761904761904,0.8972533062054934,0.8913934426229508
A048,503,442,448,0.878727634194831,0.8906560636182903,0.011928429423459244,0.90020366598778,0.9096446700507614
A049,503,474,467,0.9423459244532804,0.9284294234592445,-0.013916500994035786,0.9518072289156626,0.9377510040160643
A050,499,444,444,0.8897795591182365,0.8897795591182365,0.0,0.9135802469135802,0.9135802469135802
A051,502,458,454,0.9123505976095617,0.9043824701195219,-0.00796812749003984,0.9346938775510204,0.9293756397134084
A052,503,489,491,0.9721669980119284,0.9761431411530815,0.003976143141153081,0.9731343283582089,0.9742063492063492
A053,504,423,424,0.8392857142857143,0.8412698412698413,0.001984126984126984,0.869475847893114,0.8706365503080082
A054,497,459,467,0.9235412474849095,0.9396378269617707,0.01609657947686117,0.8676748582230623,0.8819641170915958
A055,480,466,465,0.9708333333333333,0.96875,-0.0020833333333333333,0.9718456725755996,0.9707724425887265
A056,504,461,461,0.9146825396825397,0.9146825396825397,0.0,0.9083743842364532,0.9119683481701286
A057,503,444,447,0.882703777335984,0.8886679920477137,0.005964214711729622,0.9051987767584098,0.9048582995951417
A058,504,484,483,0.9603174603174603,0.9583333333333334,-0.001984126984126984,0.9738430583501007,0.971830985915493
A059,499,498,499,0.9979959919839679,1.0,0.002004008016032064,0.9764705882352941,0.9784313725490196
A060,503,481,483,0.9562624254473161,0.9602385685884692,0.003976143141153081,0.9572139303482587,0.963110667996012
A061,479,447,445,0.9331941544885177,0.9290187891440501,-0.0041753653444676405,0.946031746031746,0.9408033826638478
A062,484,458,454,0.9462809917355371,0.9380165289256198,-0.008264462809917356,0.9078295341922695,0.9218274111675127
A063,487,456,459,0.9363449691991786,0.9425051334702259,0.006160164271047228,0.8985221674876848,0.8895348837209303
A064,489,471,470,0.9631901840490797,0.9611451942740287,-0.002044989775051125,0.9731404958677686,0.9720785935884177
A065,488,446,443,0.9139344262295082,0.9077868852459017,-0.006147540983606557,0.9301355578727841,0.9248434237995825
A066,490,471,471,0.9612244897959183,0.9612244897959183,0.0,0.9661538461538461,0.9612244897959183
A067,488,378,381,0.7745901639344263,0.7807377049180327,0.006147540983606557,0.7745901639344263,0.768920282542886
A068,490,427,418,0.8714285714285714,0.8530612244897959,-0.018367346938775512,0.893305439330544,0.880927291886196
A069,490,413,413,0.8428571428571429,0.8428571428571429,0.0,0.8137931034482758,0.8194444444444444
A070,490,437,440,0.8918367346938776,0.8979591836734694,0.006122448979591836,0.8873096446700508,0.8870967741935484
A071,490,333,333,0.6795918367346939,0.6795918367346939,0.0,0.7184466019417476,0.7223427331887202
A072,490,345,349,0.7040816326530612,0.7122448979591837,0.00816326530612245,0.6412639405204461,0.6391941391941391
A073,488,279,267,0.5717213114754098,0.5471311475409836,-0.02459016393442623,0.5670731707317073,0.5603357817418678
A074,486,320,320,0.6584362139917695,0.6584362139917695,0.0,0.7158836689038032,0.7182940516273849
A075,481,356,353,0.7401247401247402,0.7338877338877339,-0.006237006237006237,0.702862783810464,0.717479674796748
A076,488,255,266,0.5225409836065574,0.5450819672131147,0.022540983606557378,0.5756207674943566,0.5957446808510638
